dataset	genomes	gzip_size	db_size	indexing_time	indexing_RAM	query	query_len	genome_hits	time	RAM
GTDB repr	85205	75 GB	110 GB	1 h 30 m	38 GB	a MutL gene	1,956 bp	2	3.2 s	436 MB
						a 16S rRNA gene	1,542 bp	4,374	38.5 s	747 MB
						a plasmid	51,466 bp	0	13.0 s	768 MB
GTDB complete	402538	578 GB	510 GB	3 h 26 m	35 GB	a MutL gene	1,956 bp	268	2.8 s	571 MB
						a 16S rRNA gene	1,542 bp	107,557	3 m 38 s	2.6 GB
						a plasmid	51,466 bp	3,220	56.2 s	3.0 GB
Genbank+RefSeq	2340672	3.5 TB	2.91 TB	16 h 40 m	79 GB	a MutL gene	1,956 bp	817	6.0 s	1.4 GB
						a 16S rRNA gene	1,542 bp	832,161	18 m 58 s	8.3 GB
						a plasmid	51,466 bp	17,822	5 m 02 s	13.7 GB
AllTheBacteria HQ	1858610	3.1 TB	2.32 TB	10 h 48 m	43 GB	a MutL gene	1,956 bp	404	4.7 s	1.1 GB
						a 16S rRNA gene	1,542 bp	1,031,705	17 m 54 s	8.4 GB
						a plasmid	51,466 bp	10,897	4 m 07 s	10.8 GB
