query	qlen	hits	sgenome	sseqid	qcovGnm	hsp	qcovHSP	alenHSP	pident	qstart	qend	sstart	send	sstr	slen	seeds
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	1	100.000	1542	99.287	1	1542	458559	460100	+	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	2	100.000	1542	99.287	1	1542	1285123	1286664	+	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	3	100.000	1542	99.287	1	1542	3780640	3782181	-	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	4	100.000	1542	99.287	1	1542	4551515	4553056	-	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	5	100.000	1542	99.287	1	1542	4591684	4593225	-	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	6	100.000	1542	99.287	1	1542	4844587	4846128	-	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_003697165.2	NZ_CP033092.2	100.000	7	100.000	1542	99.092	1	1542	4726193	4727734	-	4903501	23
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	1	100.000	1542	99.027	1	1542	3216505	3218046	+	4659463	22
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	2	100.000	1542	98.962	1	1542	3396068	3397609	+	4659463	24
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	3	100.000	1542	98.962	1	1542	3119331	3120872	+	4659463	23
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	4	100.000	1542	98.898	1	1542	3355632	3357173	+	4659463	24
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	5	100.000	1542	98.898	1	1542	4223146	4224687	+	4659463	24
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	6	100.000	1542	98.833	1	1542	3540450	3541991	+	4659463	23
NC_000913.3:4166659-4168200	1542	15	GCF_002950215.1	NZ_CP026788.1	100.000	7	100.000	1542	98.768	1	1542	2125377	2126917	-	4659463	18
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	1	97.601	1505	98.937	1	1542	1662010	1663551	-	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	2	97.601	1505	98.937	1	1542	2536624	2538165	+	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	3	97.601	1505	98.937	1	1542	2636477	2638018	+	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	4	97.601	1505	98.937	1	1542	2768883	2770424	+	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	5	97.601	1505	98.937	1	1542	2810845	2812386	+	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	6	97.601	1505	98.937	1	1542	3061592	3063133	+	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_002949675.1	NZ_CP026774.1	97.601	7	97.601	1505	98.937	1	1542	3646778	3648319	+	4395762	30
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	1	94.553	1458	97.325	1	1542	289180	290721	+	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	2	94.553	1458	97.051	1	1542	2800122	2801663	-	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	3	94.553	1458	96.776	1	1542	3570473	3572014	-	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	4	94.553	1458	96.776	1	1542	4100145	4101686	+	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	5	94.553	1458	96.776	1	1542	4196072	4197613	+	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	6	94.553	1458	96.776	1	1542	4351143	4352684	+	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000006945.2	NC_003197.2	94.553	7	93.061	1435	96.934	1	1519	4394688	4396206	+	4857450	15
NC_000913.3:4166659-4168200	1542	15	GCF_000742135.1	NZ_KN046818.1	93.580	1	93.580	1443	96.119	1	1542	5047334	5048873	+	5284261	13
NC_000913.3:4166659-4168200	1542	15	GCF_000742135.1	NZ_KN046818.1	93.580	2	93.580	1443	96.119	1	1542	4537888	4539426	-	5284261	14
NC_000913.3:4166659-4168200	1542	15	GCF_000742135.1	NZ_KN046818.1	93.580	3	93.580	1443	96.050	1	1542	5151948	5153486	+	5284261	14
NC_000913.3:4166659-4168200	1542	15	GCF_000742135.1	NZ_KN046818.1	93.580	4	93.580	1443	95.981	1	1542	744106	745645	+	5284261	13
NC_000913.3:4166659-4168200	1542	15	GCF_000742135.1	NZ_KN046818.1	93.580	5	93.580	1443	95.911	1	1542	3916109	3917647	+	5284261	13
NC_000913.3:4166659-4168200	1542	15	GCF_000742135.1	NZ_KN046818.1	93.580	6	20.817	321	96.573	1	359	1	356	-	5284261	3
NC_000913.3:4166659-4168200	1542	15	GCF_001457655.1	NZ_LN831035.1	72.503	1	72.503	1118	85.689	2	1542	431793	433331	+	1890645	42
NC_000913.3:4166659-4168200	1542	15	GCF_001457655.1	NZ_LN831035.1	72.503	2	72.503	1118	85.689	2	1542	846339	847877	+	1890645	42
NC_000913.3:4166659-4168200	1542	15	GCF_001457655.1	NZ_LN831035.1	72.503	3	72.503	1118	86.673	2	1542	963032	964570	+	1890645	42
NC_000913.3:4166659-4168200	1542	15	GCF_001457655.1	NZ_LN831035.1	72.503	4	72.503	1118	85.689	2	1542	1145819	1147357	+	1890645	42
NC_000913.3:4166659-4168200	1542	15	GCF_001457655.1	NZ_LN831035.1	72.503	5	72.503	1118	85.689	2	1542	274155	275693	-	1890645	42
NC_000913.3:4166659-4168200	1542	15	GCF_001457655.1	NZ_LN831035.1	72.503	6	72.503	1118	85.689	2	1542	307720	309258	-	1890645	42
NC_000913.3:4166659-4168200	1542	15	GCF_900638025.1	NZ_LR134481.1	75.746	1	75.746	1168	84.247	2	1542	609659	611197	+	2062405	30
NC_000913.3:4166659-4168200	1542	15	GCF_900638025.1	NZ_LR134481.1	75.746	2	75.746	1168	84.247	2	1542	786963	788501	+	2062405	30
NC_000913.3:4166659-4168200	1542	15	GCF_900638025.1	NZ_LR134481.1	75.746	3	75.746	1168	84.247	2	1542	1309177	1310715	+	2062405	30
NC_000913.3:4166659-4168200	1542	15	GCF_900638025.1	NZ_LR134481.1	75.746	4	75.746	1168	84.247	2	1542	1442499	1444037	+	2062405	30
NC_000913.3:4166659-4168200	1542	15	GCF_900638025.1	NZ_LR134481.1	75.746	5	75.746	1168	84.247	2	1542	393907	395445	-	2062405	30
